bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
Utkarsh Small Finance Bank,Above 3 Years to less than 4 Years,8.25%,,8.85%,,,,30000000
Utkarsh Small Finance Bank,4 Years upto 5 Years,7.50%,,8.10%,,,,30000000
Utkarsh Small Finance Bank,Above 5 Years upto 10 Years,7.00%,,7.60%,,,,30000000
ESAF Bank,7 days to 14 days,4.00%,,4.50%,,,,30000000
ESAF Bank,15 days to 59 days,4.50%,,5.00%,,,,30000000
ESAF Bank,60 days to 90 days,5.00%,,5.50%,,,,30000000
ESAF Bank,91 days to 182 days,5.25%,,5.75%,,,,30000000
ESAF Bank,183 days to 1 year,6.00%,,6.50%,,,,30000000
ESAF Bank,1 year 1 day to less than 2 years,7.75%,,8.25%,,,,30000000
ESAF Bank,2 years to less than 3 years,8.25%,,8.75%,,,,30000000
ESAF Bank,3 years to less than 5 years,6.75%,,7.25%,,,,30000000
ESAF Bank,5 years to 10 years,6.25%,,6.75%,,,,30000000
IndusInd Bank,7 - 14 Days,3.25%,,3.75%,,,,50000000
IndusInd Bank,15 - 29 Days,3.75%,,4.25%,,,,50000000
IndusInd Bank,30 - 45 Days(1 month-1 month 15 days),4.25%,,4.75%,,,,50000000
IndusInd Bank,46 - 90 Days(1 month 16 days-3 months),4.75%,,5.25%,,,,50000000
IndusInd Bank,91 - 180 Days(3 months 1 day-6 months),6.25%,,6.75%,,,,50000000
IndusInd Bank,181 - 365 Days(6 months 1 day-1 year),7.00%,,7.50%,,,,50000000
IndusInd Bank,366 - 545 Days(1 year 1 day-1 year 6 months),8.75%,,9.25%,,,,50000000
IndusInd Bank,546 - 1111 Days(1 year 6 months 1day-3 years 16 days),9.00%,,9.50%,,,,50000000
IndusInd Bank,1112 - 1825 Days(3 years 17 days-4 years 11 months 30 days),8.00%,,8.50%,,,,50000000
IndusInd Bank,1826 - 3650 Days(5 years -10 years),6.25%,,6.75%,,,,50000000
Unity Small Finance Bank,7 - 14 Days,4.50%,,4.50%,,,,30000000
Unity Small Finance Bank,15 - 45 Days,4.75%,,4.75%,,,,30000000
Unity Small Finance Bank,46 - 60 Days,5.75%,,6.25%,,,,30000000
Unity Small Finance Bank,61 - 90 Days,6.00%,,6.50%,,,,30000000
Unity Small Finance Bank,91 - 164 Days,6.25%,,6.75%,,,,30000000
Unity Small Finance Bank,165 Days - 6 Months,6.25%,,6.75%,,,,30000000
Unity Small Finance Bank,> 6 Months - 201 Days,8.50%,,9.00%,,,,30000000
Unity Small Finance Bank,202 - 364 Days,7.25%,,7.75%,,,,30000000
Unity Small Finance Bank,1 Year,7.85%,,8.35%,,,,30000000
Unity Small Finance Bank,1 Year 1 day,7.85%,,8.35%,,,,30000000
Unity Small Finance Bank,> 1 Year 1 day - 500 days,7.85%,,8.35%,,,,30000000
Unity Small Finance Bank,501 Days,8.75%,,9.25%,,,,30000000
Unity Small Finance Bank,502 Days - 18 Months,7.85%,,8.35%,,,,30000000
Unity Small Finance Bank,> 18 Months - 700 Days,7.90%,,8.40%,,,,30000000
Unity Small Finance Bank,701 Days,8.75%,,9.25%,,,,30000000
Unity Small Finance Bank,702 Days - 1000 Days,7.90%,,8.40%,,,,30000000
Unity Small Finance Bank,1001 Days,9.00%,,9.50%,,,,30000000
Unity Small Finance Bank,1002 Days - 3 Year,8.15%,,8.65%,,,,30000000
Unity Small Finance Bank,> 3 Year - 5 Year,8.15%,,8.65%,,,,30000000
Unity Small Finance Bank,> 5 Year - 10 Year,7.50%,,8.00%,,,,30000000
Citibank India,7-10 Days,2.10%,-,,,,,30000000
Citibank India,11-14 Days,2.10%,-,,,,,30000000
Citibank India,15-25 Days,2.15%,-,,,,,30000000
Citibank India,26-35 Days,2.15%,-,,,,,30000000
Citibank India,36-45 Days,3.00%,-,,,,,30000000
Citibank India,46-60 Days,3.00%,-,,,,,30000000
Citibank India,61-90 Days,3.00%,-,,,,,30000000
Citibank India,91-120 Days,3.00%,3.00%,,,,,30000000
Citibank India,121-150 Days,3.00%,3.00%,,,,,30000000
Citibank India,151-180 Days,3.00%,3.01%,,,,,30000000
Citibank India,181-270 Days,3.00%,3.01%,,,,,30000000
Citibank India,271-364 Days,3.00%,3.02%,,,,,30000000
Citibank India,365-400 Days,3.00%,3.03%,,,,,30000000
Citibank India,401-540 Days,3.00%,3.04%,,,,,30000000
Citibank India,541-731 Days,3.00%,3.06%,,,,,30000000
Citibank India,732 - 1095 Days,3.00%,3.08%,,,,,30000000
Citibank India,>=1096 Days,3.00%,3.13%,,,,,30000000
DBS Bank,7 days,2.50%,,2.50%,,,,30000000
DBS Bank,8 days & up to 14 days,2.75%,,2.75%,,,,30000000
DBS Bank,15 days & up to 29 days,4.00%,,4.00%,,,,30000000
DBS Bank,30 days & up to 45 days,4.50%,,4.50%,,,,30000000
DBS Bank,46 days & up to 60 days,4.50%,,4.50%,,,,30000000
DBS Bank,61 days,5.00%,,5.00%,,,,30000000
DBS Bank,62 days & up to 90 days,5.00%,,5.00%,,,,30000000
DBS Bank,91 to 180 days,5.00%,,5.00%,,,,30000000
DBS Bank,181 to 269 days,6.00%,,6.50%,,,,30000000
DBS Bank,270 to less than 1 year,6.00%,,6.50%,,,,30000000
DBS Bank,1 year to 375 days,7.00%,,7.50%,,,,30000000
DBS Bank,376 days to 540 days,7.50%,,8.00%,,,,30000000
DBS Bank,541 days to 599 days,7.25%,,7.75%,,,,30000000
DBS Bank,600 days,7.25%,,7.75%,,,,30000000
DBS Bank,601 days to less than 2 years,7.25%,,7.75%,,,,30000000
DBS Bank,2 years to less than 2 years & 6 months,7.00%,,7.50%,,,,30000000
DBS Bank,2 years & 6 months,7.00%,,7.50%,,,,30000000
DBS Bank,2 years 6 months 1 day & less than 3 years,7.00%,,7.50%,,,,30000000
DBS Bank,3 years and less than 4 years,6.50%,,7.00%,,,,30000000
DBS Bank,4 years to less than 5 years,6.50%,,7.00%,,,,30000000
DBS Bank,5 years and above,6.50%,,7.00%,,,,30000000
Deutsche Bank,7 Days,3.00%,,3.00%,,,,30000000
Deutsche Bank,8 - 14 Days,3.00%,,3.00%,,,,30000000
Deutsche Bank,15 - 29 Days,3.00%,,3.00%,,,,30000000
Deutsche Bank,30 Days,4.00%,,4.00%,,,,30000000
Deutsche Bank,31 - 45 Days,4.00%,,4.00%,,,,30000000
Deutsche Bank,46 - 59 Days,5.25%,,5.25%,,,,30000000
Deutsche Bank,60 - 89 Days,5.25%,,5.25%,,,,30000000
Deutsche Bank,90 - 99 Days,5.25%,,5.25%,,,,30000000
Deutsche Bank,100 Days,7.00%,,7.00%,,,,30000000
Deutsche Bank,101 - 180 Days,7.00%,,7.00%,,,,30000000
Deutsche Bank,181 - 270 Days,7.00%,,7.00%,,,,30000000
Deutsche Bank,271 Days - 1 Yr,7.00%,,7.00%,,,,30000000
Deutsche Bank,> 1 Yr - 1.5 Yrs,8.00%,,8.00%,,,,30000000
Deutsche Bank,> 1.5 Yrs - 2 Yrs,8.00%,,8.00%,,,,30000000
Deutsche Bank,> 2 Yrs - 3 Yrs,8.00%,,8.00%,,,,30000000
Deutsche Bank,> 3 Yrs - 4 Yrs,7.00%,,7.00%,,,,30000000
Deutsche Bank,> 4 Yrs - <5 Yrs,7.00%,,7.00%,,,,30000000
Deutsche Bank,5 Yrs,7.50%,,7.50%,,,,30000000
HSBC Bank,7 Days,2.85%,,3.35%,,,,30000000
HSBC Bank,8 Days,2.85%,,3.35%,,,,30000000
HSBC Bank,9 to 14 Days,3.00%,,3.50%,,,,30000000
HSBC Bank,15 to 29 Days,3.00%,,3.50%,,,,30000000
HSBC Bank,30 to 59 Days,3.40%,,3.90%,,,,30000000
HSBC Bank,60 to 89 Days,3.60%,,4.10%,,,,30000000
HSBC Bank,90 to 93 Days,3.80%,,4.30%,,,,30000000
HSBC Bank,94 Days,3.80%,,4.30%,,,,30000000
HSBC Bank,95 to 179 Days,4.00%,,4.50%,,,,30000000
HSBC Bank,180 Days,4.50%,,5.00%,,,,30000000
HSBC Bank,181 to 269 Days,3.25%,,3.75%,,,,30000000
HSBC Bank,270 Days to 364 Days,3.7%,,4.2%,,,,30000000
HSBC Bank,365 Days,4%,,4.5%,,,,30000000
HSBC Bank,366 Days to 399 Days,4%,,4.5%,,,,30000000
HSBC Bank,400 Days,3.25%,,3.75%,,,,30000000
HSBC Bank,401 Days to less than 18 months,6.25%,,6.75%,,,,30000000
HSBC Bank,18 months to 599 days,4.1%,,4.6%,,,,30000000
HSBC Bank,600 days,3.75%,,4.25%,,,,30000000
HSBC Bank,601 to 699 days,7.50%,,8.00%,,,,30000000
HSBC Bank,700 days,3.75%,,4.25%,,,,30000000
HSBC Bank,701 days to 730 days,4.25%,,4.75%,,,,30000000
HSBC Bank,731 Days,4.25%,,4.75%,,,,30000000
HSBC Bank,732 days to less than 36 months,6.50%,,7.00%,,,,30000000
HSBC Bank,36 months to less than 37 months,7.00%,,7.50%,,,,30000000
HSBC Bank,37 months to less than 48 months,6.00%,,6.50%,,,,30000000
HSBC Bank,48 months to 60 months,6.00%,,6.50%,,,,30000000
Standard Chartered Bank,7 – 9 days,2.75%,,,,,,20000000
Standard Chartered Bank,10-14 days,2.75%,,,,,,20000000
Standard Chartered Bank,15 -17days,2.75%,,,,,,20000000
Standard Chartered Bank,18-20days,2.75%,,,,,,20000000
Standard Chartered Bank,21-23days,2.75%,,,,,,20000000
Standard Chartered Bank,24-26 days,2.75%,,,,,,20000000
Standard Chartered Bank,27-29days,2.75%,,,,,,20000000
Standard Chartered Bank,30-32 days,2.75%,,,,,,20000000
Standard Chartered Bank,33-35 days,2.75%,,,,,,20000000
Standard Chartered Bank,36-38 days,2.75%,,,,,,20000000
Standard Chartered Bank,39-41 days,2.75%,,,,,,20000000
Standard Chartered Bank,42-44 days,2.75%,,,,,,20000000
Standard Chartered Bank,45 -47 days,3.25%,,,,,,20000000
Standard Chartered Bank,48-50 days,3.25%,,,,,,20000000
Standard Chartered Bank,51-53 days,3.25%,,,,,,20000000
Standard Chartered Bank,54-56 days,3.25%,,,,,,20000000
Standard Chartered Bank,57-59 days,3.25%,,,,,,20000000
Standard Chartered Bank,60-74 days,3.50%,,,,,,20000000
Standard Chartered Bank,75-85 days,3.50%,,,,,,20000000
Standard Chartered Bank,86 -104 days,5.50%,,,,,,20000000
Standard Chartered Bank,105-120 days,5.50%,,,,,,20000000
Standard Chartered Bank,121 -149 days,5.50%,,,,,,20000000
Standard Chartered Bank,150-164 days,5.50%,,,,,,20000000
Standard Chartered Bank,165-180 days,5.50%,,,,,,20000000
Standard Chartered Bank,181-210 days,6.50%,,,,,,20000000
Standard Chartered Bank,211-226 days,6.50%,,,,,,20000000
Standard Chartered Bank,227 – 269 days,6.50%,,,,,,20000000
Standard Chartered Bank,270 days-345 days,6.50%,,,,,,20000000
Standard Chartered Bank,346 days-364 days,7.00%,,,,,,20000000
Standard Chartered Bank,1yr  – 375days*,7.50%,,,,,,20000000
Standard Chartered Bank,376 -390 days,7.25%,,,,,,20000000
Standard Chartered Bank,391 days < 18 Months,7.20%,,,,,,20000000
Standard Chartered Bank,18M  < 21M,7.20%,,,,,,20000000
Standard Chartered Bank,21M < 2 Yrs,7.20%,,,,,,20000000
Standard Chartered Bank,2 Yrs < 3 Yrs,7.20%,,,,,,20000000
Standard Chartered Bank,3 Yrs < 4 Yrs,7.10%,,,,,,20000000
Standard Chartered Bank,4 Yrs < 5Yrs,6.75%,,,,,,20000000
Standard Chartered Bank,5Yrs,6.75%,,,,,,20000000
