bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
Axis Bank,18 Months < 2 years,7.10%,,7.60%,,,,30000000
Axis Bank,2 years < 30 months,7.10%,,7.60%,,,,30000000
Axis Bank,30 months < 3 years,7.10%,,7.60%,,,,30000000
Axis Bank,3 years < 5 years,7.10%,,7.60%,,,,30000000
Axis Bank,5 years to 10 years,7.00%,,7.75%,,,,30000000
Bandhan Bank,7 days to 14 days,3.00%,,3.75%,,,,30000000
Bandhan Bank,15 days to 30 days,3.00%,,3.75%,,,,30000000
Bandhan Bank,31 days to less than 2 months,3.50%,,4.25%,,,,30000000
Bandhan Bank,2 months to less than 3 months,4.50%,,5.25%,,,,30000000
Bandhan Bank,3 months to less than 6 months,4.50%,,5.25%,,,,30000000
Bandhan Bank,6 months to less than 1 year,4.50%,,5.25%,,,,30000000
Bandhan Bank,1 year,8.05%,,8.55%,,,,30000000
Bandhan Bank,1 year 1 day to 1 year 9 months,8.00%,,8.50%,,,,30000000
Bandhan Bank,1 year 9 months 1 day to less than 2 years,7.25%,,7.75%,,,,30000000
Bandhan Bank,2 years to less than 3 years,7.25%,,7.75%,,,,30000000
Bandhan Bank,3 years to less than 5 years,7.25%,,7.75%,,,,30000000
Bandhan Bank,5 years to up to 10 years,5.85%,,6.60%,,,,30000000
Bandhan Bank,Tax Saver Fixed Deposit,7.00%,,7.50%,,,,30000000
bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
Federal Bank,7 days to 29 days,3.00%,,3.50%,,,,30000000
Federal Bank,30 days to 45 days,3.25%,,3.75%,,,,30000000
Federal Bank,46 days to 60 days,4.00%,,4.50%,,,,30000000
Federal Bank,61 days to 119 days,4.75%,,5.25%,,,,30000000
Federal Bank,120 days to 180 days,5.00%,,5.50%,,,,30000000
Federal Bank,181 days,6.50%,,7.00%,,,,30000000
Federal Bank,182 days to less than 1 year,6.25%,,6.75%,,,,30000000
Federal Bank,1 year to 399 days,6.80%,,7.30%,,,,30000000
Federal Bank,400 days,7.35%,,7.85%,,,,30000000
Federal Bank,401 days to 776 days,7.05%,,7.55%,,,,30000000
Federal Bank,777 days,7.40%,,7.90%,,,,30000000
Federal Bank,778 days to less than 3 years,7.05%,,7.55%,,,,30000000
Federal Bank,3 years to less than 50 months,7.00%,,7.50%,,,,30000000
Federal Bank,50 Months,7.40%,,7.90%,,,,30000000
Federal Bank,Above 50 months to less than 5 years,7.00%,,7.50%,,,,30000000
Federal Bank,5 years and above,6.60%,,7.25%,,,,30000000
